date,volume,open,close,high,low,adjclose
6/25/18,7511200,1702.51001,1663.150024,1705,1646.310059,1663.150024
6/26/18,4386600,1672.369995,1691.089966,1701.569946,1663.339966,1691.089966
6/27/18,4872200,1708.109985,1660.51001,1711.949951,1660,1660.51001
6/28/18,4529700,1672.540039,1701.449951,1705.5,1661.170044,1701.449951
6/29/18,4543500,1717,1699.800049,1723.410034,1694.319946,1699.800049
7/2/18,3185700,1682.699951,1713.780029,1713.890015,1678.060059,1713.780029
7/3/18,2177300,1723.959961,1693.959961,1725,1692.47998,1693.959961
7/5/18,2983100,1705.380005,1699.72998,1710.689941,1682.150024,1699.72998
7/6/18,2650300,1696,1710.630005,1715.27002,1691.670044,1710.630005
7/9/18,3012000,1724.050049,1739.02002,1739.560059,1716.22998,1739.02002
7/10/18,3002900,1738.530029,1743.069946,1750,1731,1743.069946
7/11/18,3209800,1737.98999,1755,1756.959961,1734,1755
7/12/18,4532700,1764.51001,1796.619995,1798,1762.180054,1796.619995
7/13/18,4383200,1803.930054,1813.030029,1815.300049,1795.22998,1813.030029
7/16/18,5466200,1821.949951,1822.48999,1841.949951,1814.449951,1822.48999
7/17/18,5682900,1811.560059,1843.930054,1851.689941,1797.380005,1843.930054
7/18/18,4861900,1848,1842.920044,1858.880005,1831.27002,1842.920044
7/19/18,4676900,1829.459961,1812.969971,1841,1811.27002,1812.969971
7/20/18,3884400,1825.01001,1813.699951,1834.839966,1810.060059,1813.699951
7/23/18,3888500,1812.209961,1802,1819,1769.98999,1802
7/24/18,4278700,1829.01001,1829.23999,1840,1809.380005,1829.23999
7/25/18,3738200,1829.300049,1863.609985,1863.839966,1822.640015,1863.609985
7/26/18,9924400,1839,1808,1844.680054,1804.5,1808
7/27/18,9681000,1876.050049,1817.27002,1880.050049,1806.530029,1817.27002
7/30/18,6562300,1827.329956,1779.219971,1829.5,1766.02002,1779.219971
7/31/18,5738700,1786.48999,1777.439941,1801.829956,1739.319946,1777.439941
8/1/18,4153100,1784,1797.170044,1798.439941,1776.02002,1797.170044
8/2/18,4354700,1788.77002,1834.329956,1836.560059,1786,1834.329956
8/3/18,3460500,1837.73999,1823.290039,1841,1821.5,1823.290039
