date,volume,open,close,high,low,adjclose
6/25/18,25275100,200,196.3500061,200,193.1100006,196.3500061
6/26/18,17897600,197.6000061,199,199.1000061,196.2299957,199
6/27/18,18734400,199.1799927,195.8399963,200.75,195.8000031,195.8399963
6/28/18,18172400,195.1799927,196.2299957,197.3399963,193.2599945,196.2299957
6/29/18,15811600,197.3200073,194.3200073,197.6000061,193.9600067,194.3200073
7/2/18,13961600,193.3699951,197.3600006,197.4499969,192.2200012,197.3600006
7/3/18,13489500,194.5500031,192.7299957,195.3999939,192.5200043,192.7299957
7/5/18,19684200,194.7400055,198.4499969,198.6499939,194.0299988,198.4499969
7/6/18,19740100,198.4499969,203.2299957,203.6399994,197.6999969,203.2299957
7/9/18,18149400,204.9299927,204.7400055,205.8000031,202.1199951,204.7400055
7/10/18,13190100,204.5,203.5399933,204.9100037,202.2599945,203.5399933
7/11/18,12927400,202.2200012,202.5399933,204.5,201.75,202.5399933
7/12/18,15454700,203.4299927,206.9199982,207.0800018,203.1900024,206.9199982
7/13/18,11486800,207.8099976,207.3200073,208.4299927,206.4499969,207.3200073
7/16/18,11078200,207.5,207.2299957,208.7200012,206.8399963,207.2299957
7/17/18,15349900,204.8999939,209.9900055,210.4600067,204.8399963,209.9900055
7/18/18,15334900,209.8200073,209.3600006,210.9900055,208.4400024,209.3600006
7/19/18,11350400,208.7700043,208.0899963,209.9900055,207.7599945,208.0899963
7/20/18,16163900,208.8500061,209.9400024,211.5,208.5,209.9400024
7/23/18,16732000,210.5800018,210.9100037,211.6199951,208.8000031,210.9100037
7/24/18,28468700,215.1100006,214.6699982,216.1999969,212.6000061,214.6699982
7/25/18,58954200,215.7200012,217.5,218.6199951,214.2700043,217.5
7/26/18,169803700,174.8899994,176.2599945,180.1300049,173.75,176.2599945
7/27/18,60073700,179.8699951,174.8899994,179.9299927,173,174.8899994
7/30/18,65280800,175.3000031,171.0599976,175.3000031,166.5599976,171.0599976
7/31/18,40356500,170.6699982,172.5800018,174.2400055,170,172.5800018
8/1/18,34042100,173.9299927,171.6499939,175.0800018,170.8999939,171.6499939
8/2/18,32400000,170.6799927,176.3699951,176.7899933,170.2700043,176.3699951
8/3/18,24763400,177.6900024,177.7799988,178.8500061,176.1499939,177.7799988
